TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,DaysSincePrevTransaction,TransactionHour,TransactionDayOfWeek,CustomerAge_encoded,AccountBalance_encoded,Target
0.007207442096898487,1,0,70.0,0,0.24482758620689654,0.0,5112.21,0.7280219780219781,0.0,0.25,2,0,0
0.19594027313873516,1,0,68.0,0,0.45172413793103444,0.0,13758.91,0.5164835164835164,0.0,0.25,2,3,2
0.06567996554527274,1,2,19.0,3,0.1586206896551724,0.0,1122.35,0.48076923076923084,1.0,0.0,1,2,1
0.09601584355999851,1,2,26.0,3,0.05172413793103449,0.0,8569.06,0.6620879120879122,0.0,1.0,1,3,0
0.0068739088096663875,0,2,45.0,3,0.6482758620689656,0.0,7429.4,0.21153846153846145,0.5,0.0,0,4,0
0.047888059116889904,1,0,18.0,3,0.5586206896551724,0.0,781.68,0.75,0.5,0.0,1,2,1
0.003554212150648856,0,0,37.0,0,0.44482758620689655,0.0,13316.71,0.8791208791208791,0.0,0.5,0,3,2
0.08919925970464662,0,1,67.0,2,0.9689655172413792,0.0,2796.24,0.653846153846154,0.5,0.0,2,1,1
0.05522578845397773,0,1,51.0,1,0.26206896551724135,0.0,9095.14,0.7857142857142858,0.0,0.25,0,3,2
0.4250983809079219,1,0,55.0,0,0.3793103448275862,0.0,1021.88,0.7582417582417582,0.0,1.0,0,2,1
0.009130469202825798,0,2,52.0,1,0.16896551724137931,0.0,7599.52,0.804945054945055,0.0,0.25,0,4,0
0.09889256884575458,1,2,21.0,3,0.5620689655172414,0.0,1528.81,0.903846153846154,0.5,0.0,1,1,1
0.2575813600822975,0,1,24.0,3,0.3482758620689655,0.0,1620.02,0.5714285714285714,0.5,0.5,1,1,1
0.4072751990709138,1,0,26.0,3,0.3896551724137931,0.0,189.69,0.11538461538461531,0.0,0.0,1,2,1
0.08689058903753993,1,2,18.0,3,0.4275862068965517,0.0,299.93,0.8846153846153846,0.0,0.0,1,2,1
0.24243167301534838,1,0,36.0,1,0.4103448275862069,0.0,3465.54,0.05494505494505486,0.0,0.25,0,0,1
0.2895171545669116,0,1,19.0,3,0.5103448275862069,0.0,1131.26,0.17307692307692313,0.0,0.0,1,2,1
0.2567527406748291,1,2,39.0,1,0.7724137931034483,0.0,5109.97,0.049450549450549386,1.0,0.75,0,0,0
0.009599499937586915,0,1,59.0,2,0.3310344827586207,0.0,7948.37,0.8626373626373627,0.0,0.25,2,4,0
0.03711598296365402,0,2,18.0,3,0.5482758620689655,0.0,6568.59,0.5686813186813187,1.0,0.75,1,4,0
0.03077885199725331,1,1,71.0,2,0.09655172413793102,0.0,5750.89,0.8434065934065935,0.0,0.25,2,0,0
0.044563148398758974,1,1,38.0,0,0.2862068965517241,0.0,9146.19,0.3928571428571428,1.0,1.0,0,3,2
0.02706829672393689,1,2,39.0,1,0.3793103448275862,0.0,8974.93,0.5741758241758241,1.0,0.25,0,3,2
0.18009745367478236,1,2,22.0,3,0.4551724137931034,0.0,1402.5,0.6703296703296704,1.0,0.25,1,1,1
0.07571201209266497,1,2,21.0,3,0.296551724137931,0.0,1930.96,0.837912087912088,0.0,0.75,1,1,1
0.003767881718640099,0,2,65.0,2,0.9172413793103449,0.0,3634.67,0.2005494505494505,0.5,1.0,2,0,1
0.1285509521677894,1,0,23.0,3,0.5103448275862069,0.0,673.35,0.7115384615384615,0.0,0.0,1,2,1
0.020877087844270566,1,1,37.0,1,0.29310344827586204,0.0,2686.52,0.7637362637362637,0.0,0.5,0,1,1
0.06628449223655368,1,2,44.0,0,0.6448275862068966,0.0,1772.06,0.9395604395604396,0.0,0.25,0,1,1
0.029137242934580223,1,1,27.0,3,0.9413793103448276,0.0,1351.69,0.28296703296703285,0.0,0.5,1,1,1
0.014618130489341265,0,2,59.0,0,0.034482758620689655,0.0,8334.47,0.46153846153846145,0.5,0.0,2,4,0
0.030674622503303675,1,0,29.0,0,0.8517241379310345,0.0,9823.64,0.903846153846154,0.0,0.0,1,3,2
0.20647263477556893,1,0,49.0,1,0.5448275862068966,0.0,9690.15,0.26923076923076916,0.0,0.0,0,3,2
0.45733121623001105,1,2,22.0,3,0.4827586206896552,0.0,399.0,0.8076923076923077,0.5,0.0,1,2,1
0.13289209498489557,0,1,45.0,0,0.13793103448275862,0.0,14815.87,0.18131868131868134,0.0,1.0,0,3,2
0.06488261359438068,1,1,49.0,1,0.1206896551724138,0.0,5764.72,0.21153846153846145,0.0,0.0,0,0,0
0.04058159723637839,1,1,26.0,3,0.46551724137931033,0.0,900.61,0.11263736263736257,0.0,0.25,1,2,1
0.33823385582915994,1,0,75.0,2,0.4379310344827586,0.0,4875.86,0.837912087912088,0.5,0.75,2,0,0
0.4143367139867965,1,0,66.0,0,0.27586206896551724,0.0,7914.88,0.2225274725274724,0.5,0.75,2,4,0
0.1747765627594059,1,2,55.0,2,0.7103448275862069,0.0,1019.39,0.9395604395604396,0.5,0.25,0,2,1
0.17104515920168487,1,0,63.0,2,0.3758620689655172,0.0,4323.66,0.42307692307692313,1.0,0.0,2,0,0
0.01759387170693663,1,2,38.0,0,0.031034482758620682,0.0,14214.48,0.9807692307692308,0.0,0.0,0,3,2
0.12567944342616202,0,2,57.0,0,0.36551724137931035,0.0,13357.02,0.7032967032967032,1.0,0.75,2,3,2
0.028694270070309575,1,0,19.0,3,0.36896551724137927,0.0,241.79,0.7252747252747254,0.0,0.5,1,2,1
0.15845428245445295,1,1,27.0,3,0.07931034482758621,0.0,868.61,0.4368131868131868,0.0,0.5,1,2,1
0.22670349028944342,1,1,74.0,2,0.27586206896551724,0.0,4673.28,0.24450549450549453,0.5,0.5,2,0,0
0.08558772533320011,1,1,26.0,3,0.22413793103448276,0.0,1509.27,0.05219780219780212,0.0,0.5,1,1,1
0.2657737676913503,1,2,19.0,3,0.3275862068965517,0.0,781.7,0.23076923076923084,0.0,0.0,1,2,1
0.32657061740325405,1,2,26.0,3,0.4413793103448276,0.0,265.51,0.09615384615384615,0.0,0.0,1,2,1
0.011334914352007331,0,2,41.0,1,0.5689655172413793,0.0,1335.09,0.7692307692307692,0.0,0.0,0,1,1
0.22152851947278912,0,2,69.0,2,0.38275862068965516,0.0,3907.54,0.8846153846153846,0.0,0.0,2,0,1
0.221122026633199,1,2,51.0,1,0.8758620689655173,0.0,5183.85,0.48901098901098905,0.5,0.25,0,0,0
0.044385960843460505,1,1,67.0,0,0.46551724137931033,0.0,14904.9,0.5714285714285714,0.0,0.5,2,3,2
0.0881986613339595,1,1,28.0,3,0.4551724137931034,0.0,918.88,0.31868131868131866,0.0,0.75,1,2,1
0.054391952502380644,1,0,62.0,2,0.27586206896551724,0.0,4477.78,0.7637362637362637,0.5,0.5,2,0,0
0.16504156897756217,1,1,25.0,3,0.2517241379310345,0.0,1324.03,0.4120879120879122,0.5,1.0,1,1,1
0.03141465012113507,0,1,57.0,2,0.14482758620689656,0.0,3534.93,0.049450549450549386,0.5,0.75,2,0,1
0.1523308230440557,0,1,68.0,2,0.17586206896551726,0.0,4638.37,0.8351648351648351,0.5,1.0,2,0,0
0.20129764805481665,1,1,48.0,1,0.06206896551724138,0.0,5630.61,0.5659340659340659,0.0,1.0,0,0,0
0.05826927615882383,1,1,23.0,3,0.1413793103448276,0.0,930.3,0.25,0.0,0.0,1,2,1
0.2961461416348546,1,0,46.0,1,0.489655172413793,0.0,5499.91,0.48901098901098905,1.0,1.0,0,0,0
0.13744169281387658,1,1,79.0,2,0.7482758620689656,0.0,4175.02,0.6318681318681318,0.0,0.25,2,0,0
0.18207781604783768,1,2,48.0,1,0.7448275862068966,0.0,6651.62,0.15109890109890112,0.0,0.25,0,4,0
0.31328140761898776,0,1,56.0,1,0.32413793103448274,0.0,8458.29,0.5934065934065935,0.5,0.25,2,3,0
0.0028715115993949657,1,2,50.0,0,0.393103448275862,0.0,13988.12,0.16483516483516492,0.0,0.75,0,3,2
0.10478672297186016,0,1,42.0,1,0.6068965517241379,0.0,2585.07,0.7637362637362637,0.5,0.5,0,1,1
0.15538474383715922,1,1,56.0,2,0.7413793103448276,0.0,3014.75,0.6895604395604396,0.0,0.25,2,1,1
0.2714125656207166,1,1,25.0,3,0.4068965517241379,0.0,1951.42,0.7087912087912087,1.0,0.25,1,1,1
0.06098444364154511,0,2,60.0,1,0.020689655172413793,0.0,3665.77,0.8956043956043955,0.0,0.75,2,0,1
